step,drone_id,x,y,z
0,0,1,1,3
0,1,28,2,3
0,2,3,27,4
1,0,0,1,3
1,1,29,3,4
1,2,3,26,3
2,0,0,1,3
2,1,29,3,4
2,2,4,25,3
3,0,0,1,3
3,1,28,3,4
3,2,5,24,4
4,0,0,0,3
4,1,27,3,5
4,2,4,23,5
5,0,0,0,3
5,1,28,2,6
5,2,3,22,4
6,0,0,0,3
6,1,27,2,7
6,2,3,23,3
7,0,0,0,3
7,1,26,3,7
7,2,4,23,4
8,0,0,0,3
8,1,25,4,7
8,2,3,24,4
9,0,0,0,3
9,1,25,3,7
9,2,3,25,3
10,0,0,0,4
10,1,24,4,6
10,2,2,25,4
11,0,1,0,4
11,1,23,5,7
11,2,2,26,5
12,0,1,0,4
12,1,24,5,8
12,2,3,27,4
13,0,1,0,4
13,1,23,4,7
13,2,2,26,3
14,0,0,0,4
14,1,22,5,8
14,2,2,26,4
15,0,0,0,4
15,1,21,6,7
15,2,3,25,3
16,0,0,0,4
16,1,20,7,8
16,2,2,25,4
17,0,0,0,4
17,1,19,7,9
17,2,3,24,4
18,0,0,0,4
18,1,18,6,9
18,2,3,23,4
19,0,1,0,5
19,1,17,7,8
19,2,2,22,3
20,0,1,1,6
20,1,16,8,9
20,2,3,23,3
21,0,1,0,6
21,1,15,8,9
21,2,3,22,3
22,0,1,0,6
22,1,15,7,8
22,2,4,23,3
23,0,1,0,6
23,1,14,6,7
23,2,5,22,2
24,0,0,1,7
24,1,13,7,7
24,2,5,22,3
25,0,0,1,7
25,1,12,7,8
25,2,4,21,2
26,0,0,1,7
26,1,11,8,9
26,2,3,22,1
27,0,0,1,8
27,1,10,8,8
27,2,4,23,2
28,0,0,0,8
28,1,11,7,7
28,2,5,22,3
29,0,0,0,8
29,1,10,8,8
29,2,5,21,3
30,0,0,0,8
30,1,9,9,9
30,2,6,21,4
31,0,1,0,8
31,1,8,10,9
31,2,7,22,5
32,0,1,0,7
32,1,7,11,10
32,2,7,21,4
33,0,1,0,6
33,1,8,12,11
33,2,7,20,4
34,0,1,0,6
34,1,8,11,10
34,2,8,19,5
35,0,0,0,6
35,1,7,12,9
35,2,8,20,6
36,0,1,0,7
36,1,6,12,10
36,2,9,19,5
37,0,0,0,7
37,1,6,13,9
37,2,8,18,5
38,0,0,0,7
38,1,5,13,10
38,2,7,19,4
39,0,0,0,7
39,1,4,13,11
39,2,7,18,4
40,0,0,0,7
40,1,3,14,10
40,2,7,17,5
41,0,0,0,7
41,1,2,15,10
41,2,8,18,5
42,0,0,0,7
42,1,2,14,9
42,2,7,19,6
43,0,0,0,7
43,1,1,15,9
43,2,6,19,5
44,0,0,0,7
44,1,2,15,9
44,2,6,18,5
45,0,0,0,7
45,1,2,16,8
45,2,7,18,5
46,0,1,0,7
46,1,2,17,7
46,2,7,17,4
47,0,1,0,7
47,1,1,18,8
47,2,8,16,3
48,0,1,0,7
48,1,2,19,8
48,2,7,17,4
49,0,0,0,6
49,1,1,20,8
49,2,8,17,4
50,0,0,0,6
50,1,2,20,7
50,2,8,16,5
51,0,0,0,6
51,1,2,21,8
51,2,7,16,5
52,0,0,0,6
52,1,3,21,9
52,2,6,15,5
53,0,0,0,6
53,1,4,22,9
53,2,7,14,5
54,0,0,0,6
54,1,3,21,9
54,2,7,15,5
55,0,0,0,6
55,1,2,22,8
55,2,8,15,5
56,0,0,1,6
56,1,3,21,7
56,2,8,16,6
57,0,0,0,5
57,1,4,21,6
57,2,9,15,7
58,0,0,0,5
58,1,3,22,7
58,2,10,15,7
59,0,0,0,5
59,1,3,23,6
59,2,11,14,8
60,0,1,0,6
60,1,2,24,5
60,2,12,14,8
61,0,1,1,6
61,1,1,25,4
61,2,11,14,8
62,0,1,2,6
62,1,0,25,5
62,2,12,13,7
63,0,1,3,6
63,1,1,26,4
63,2,13,13,7
64,0,0,3,6
64,1,1,27,3
64,2,13,14,8
65,0,0,3,6
65,1,2,28,4
65,2,13,13,9
66,0,0,3,5
66,1,2,28,4
66,2,14,13,10
67,0,0,3,4
67,1,2,28,4
67,2,14,12,9
68,0,0,3,3
68,1,2,28,4
68,2,15,12,10
69,0,0,3,3
69,1,2,28,4
69,2,16,12,10
70,0,0,2,2
70,1,2,28,4
70,2,17,11,10
71,0,1,1,3
71,1,2,28,4
71,2,18,10,11
72,0,1,0,4
72,1,2,28,4
72,2,19,10,11
73,0,0,0,5
73,1,2,28,4
73,2,20,9,10
74,0,0,0,5
74,1,2,28,4
74,2,21,10,10
75,0,0,0,4
75,1,2,28,4
75,2,22,11,11
76,0,0,0,4
76,1,2,28,4
76,2,22,10,10
77,0,0,0,4
77,1,2,28,4
77,2,22,11,11
78,0,0,1,5
78,1,2,28,4
78,2,23,10,11
79,0,1,0,4
79,1,2,28,4
79,2,23,11,10
80,0,2,0,5
80,1,2,28,4
80,2,23,11,11
81,0,1,0,4
81,1,2,28,4
81,2,24,11,12
82,0,1,0,5
82,1,2,28,4
82,2,25,10,12
