30,30
18,17,19,18,20,21,20,15,18,19,21,18,20,17,20,18,19,25,31,32,44,52,60,63,59,50,43,35,29,25
21,20,20,16,19,19,16,19,17,17,18,18,20,17,17,19,23,21,29,36,46,54,59,63,59,51,42,38,26,27
18,19,16,20,17,19,21,15,18,20,21,20,21,18,20,19,18,24,29,35,44,52,60,61,59,51,46,32,27,25
18,17,21,20,16,19,16,18,19,18,19,16,15,19,17,16,23,23,29,31,37,45,54,56,55,45,40,32,29,23
16,18,19,19,19,20,19,20,21,19,21,19,19,16,19,21,17,25,23,28,35,43,47,45,46,37,35,27,23,20
18,18,19,20,18,19,21,17,15,18,20,18,17,19,22,18,18,20,23,32,32,36,39,38,38,33,27,27,21,23
16,16,19,18,17,17,20,15,20,18,20,20,17,21,17,19,21,25,30,36,36,37,39,35,28,29,23,22,20,23
16,16,20,21,18,20,20,19,19,16,20,20,21,21,20,18,23,33,36,45,50,46,40,34,32,25,20,23,22,17
16,21,19,21,17,18,15,18,15,20,18,17,19,16,17,21,26,37,48,58,67,62,50,37,32,25,22,22,19,17
16,16,17,18,17,21,20,16,21,18,21,19,18,18,17,25,33,42,62,76,79,78,62,46,34,24,20,17,21,21
21,18,20,17,20,16,21,21,17,20,19,19,20,22,22,27,31,44,66,79,85,79,63,45,31,26,20,18,21,18
16,19,17,18,16,17,20,17,16,16,16,19,20,18,20,26,33,44,61,73,84,74,61,43,34,26,21,18,16,16
19,17,20,18,20,19,17,17,19,21,21,21,18,16,18,23,30,39,49,62,64,58,51,35,28,25,22,21,20,19
19,17,19,21,19,18,16,19,18,21,15,16,16,18,18,23,25,29,38,42,49,44,35,31,23,24,18,16,16,19
20,21,19,20,18,17,17,17,21,19,17,18,17,18,19,22,21,21,30,29,31,30,30,25,20,21,19,20,16,18
21,16,20,19,19,19,19,20,15,19,17,20,18,18,16,20,17,21,24,22,26,23,23,20,21,16,21,18,20,19
19,18,15,15,20,20,19,19,20,18,19,19,16,19,19,19,17,19,17,21,17,22,18,17,20,17,17,18,16,17
15,21,16,19,21,17,21,16,21,17,17,16,16,18,21,21,21,19,21,19,19,16,19,20,19,18,21,16,18,20
18,19,17,18,17,16,17,18,16,15,19,18,18,21,19,20,18,17,21,21,19,20,21,19,18,20,19,20,18,19
21,19,21,16,21,20,17,20,20,16,16,19,17,18,16,19,20,19,17,19,20,19,17,19,21,16,20,20,19,16
18,18,20,15,18,18,18,16,16,20,17,20,19,19,19,17,17,21,18,16,18,17,16,20,15,21,21,18,18,20
21,19,20,17,16,15,21,21,18,17,18,19,17,18,18,21,17,20,16,17,16,20,17,18,20,16,16,16,17,16
20,19,20,20,19,16,19,18,15,18,16,19,19,18,20,21,16,17,20,16,16,15,18,17,17,16,20,19,16,18
20,17,20,19,18,19,19,20,21,20,20,21,21,15,21,18,16,20,20,18,19,16,21,15,16,17,19,18,16,20
16,19,16,18,18,18,20,20,20,20,18,19,19,20,21,19,19,17,16,16,20,20,20,18,16,19,18,18,17,19
21,20,16,20,19,17,16,18,17,19,17,20,16,21,18,21,17,15,20,19,15,17,20,15,19,16,17,18,19,19
21,16,17,17,20,20,21,17,20,21,19,18,19,20,16,19,21,20,21,20,18,19,21,20,15,17,18,19,20,18
16,16,16,19,21,18,17,20,19,17,21,21,16,18,19,21,20,20,19,19,15,18,18,17,16,19,16,20,17,21
19,21,17,21,20,15,16,21,21,17,21,18,21,16,16,18,18,18,21,16,20,21,20,19,20,19,20,21,18,20
21,20,16,20,21,19,16,16,19,20,17,17,17,17,17,17,19,15,21,20,19,18,19,20,17,18,19,16,16,19
