30,30
11,14,6,8,16,8,6,15,9,11,11,16,9,14,9,10,16,7,6,16,8,8,11,6,12,8,12,7,11,17
5,11,15,15,15,5,7,12,13,16,9,6,12,13,13,7,5,10,10,5,9,6,6,6,15,10,16,16,5,15
14,16,10,6,9,5,14,14,9,16,6,11,8,12,7,14,8,11,8,5,16,8,9,16,14,6,8,11,11,11
13,6,11,11,14,15,10,15,8,13,15,9,12,16,14,16,7,15,13,7,12,12,12,11,15,11,12,14,7,10
6,15,10,6,7,8,12,16,11,17,10,11,15,15,16,10,7,9,6,9,17,9,15,16,13,5,11,15,8,9
12,17,7,5,13,10,14,9,16,10,7,16,9,10,9,16,11,9,7,14,9,16,10,10,16,14,9,6,8,5
5,14,13,6,15,15,17,11,9,7,7,13,12,5,5,8,7,9,13,12,14,10,8,11,15,11,5,5,10,11
10,15,16,15,10,8,15,11,14,17,17,14,7,14,8,11,15,11,12,10,11,9,8,9,12,10,6,7,11,16
6,14,16,10,12,15,17,13,14,19,9,11,16,17,12,16,11,7,6,6,12,9,14,15,16,13,7,15,16,11
15,10,15,13,16,13,16,16,20,20,22,23,20,16,11,14,13,14,6,6,17,7,10,9,16,11,14,15,7,11
10,12,15,17,21,27,21,29,37,25,28,25,23,12,8,13,14,9,13,7,7,9,14,15,15,7,16,11,5,9
12,13,19,21,24,31,34,39,46,40,39,25,17,12,16,15,14,8,17,5,10,16,8,13,7,14,12,17,8,7
16,17,15,23,33,34,54,59,58,63,52,39,29,15,14,16,8,13,7,15,14,9,12,7,14,13,15,13,6,7
13,10,16,19,30,40,56,73,69,75,61,45,37,24,21,8,14,13,16,6,11,11,16,15,16,13,11,9,10,15
17,16,14,22,28,41,57,71,81,73,63,52,37,20,16,12,8,13,6,8,8,12,17,11,7,16,14,11,13,11
14,13,21,26,31,46,57,69,80,69,56,43,26,25,13,12,6,9,9,8,14,10,14,16,6,17,15,7,11,17
16,17,21,15,24,36,55,62,59,62,51,41,32,22,12,9,17,16,10,9,13,17,14,16,10,16,5,10,10,16
10,6,15,15,23,29,38,40,52,42,42,24,20,22,19,16,14,14,9,15,10,13,7,13,5,17,6,11,17,16
8,11,18,19,20,25,31,35,31,26,29,28,18,14,18,8,7,11,10,16,10,9,8,7,16,5,11,13,11,10
13,15,15,14,19,22,19,18,20,16,23,20,19,13,14,15,10,6,5,13,15,9,9,11,12,13,5,13,14,11
7,10,7,10,16,13,10,18,17,21,11,19,16,11,15,15,14,11,5,16,8,5,5,16,6,6,10,14,13,15
5,6,14,15,17,13,8,18,10,9,20,32,32,24,24,11,12,12,16,7,5,14,9,7,8,10,11,13,7,16
7,10,15,7,12,16,9,13,10,17,24,45,57,45,30,18,6,13,7,15,15,14,16,13,11,7,14,7,12,5
13,12,13,10,14,6,14,7,17,13,37,61,80,57,30,12,12,6,7,6,6,12,9,16,8,5,9,13,12,13
16,12,10,14,15,14,10,6,14,10,29,46,61,49,30,13,9,16,5,8,14,14,9,8,13,5,9,9,12,17
15,10,10,9,17,12,8,14,16,8,22,32,31,32,13,14,9,14,16,7,14,14,16,11,8,7,5,6,15,6
12,10,11,14,11,9,15,14,6,15,11,20,11,11,19,6,14,9,13,5,7,11,7,7,17,13,16,13,8,17
16,16,12,5,11,16,5,9,11,7,6,6,10,12,13,11,8,5,13,9,16,7,12,6,9,6,14,6,8,15
13,8,16,5,11,12,11,7,6,16,13,15,6,16,14,6,6,6,16,7,7,7,7,10,6,10,13,8,7,6
5,15,9,12,13,17,5,9,10,11,14,6,13,12,10,6,6,11,12,12,5,11,6,16,7,17,9,10,7,11
