step,drone_id,x,y,z
0,0,1,1,4
0,1,28,2,12
0,2,3,27,4
1,0,1,2,4
1,1,28,2,12
1,2,3,27,4
2,0,1,2,4
2,1,28,2,12
2,2,3,27,4
3,0,1,2,4
3,1,28,2,12
3,2,3,26,3
4,0,2,3,5
4,1,28,2,12
4,2,3,26,3
5,0,2,3,5
5,1,29,3,12
5,2,3,26,3
6,0,2,3,5
6,1,29,3,12
6,2,4,26,3
7,0,1,4,6
7,1,29,3,12
7,2,4,26,3
8,0,1,4,6
8,1,29,3,12
8,2,4,26,3
9,0,1,4,6
9,1,29,3,12
9,2,4,26,3
10,0,2,3,7
10,1,29,3,12
10,2,4,26,3
11,0,2,3,7
11,1,29,3,13
11,2,4,26,3
12,0,2,3,7
12,1,29,3,13
12,2,5,26,4
13,0,3,4,7
13,1,29,3,13
13,2,5,26,4
14,0,3,4,7
14,1,28,4,14
14,2,5,26,4
15,0,3,4,7
15,1,28,4,14
15,2,5,26,4
16,0,2,3,8
16,1,28,4,14
16,2,5,26,4
17,0,2,3,8
17,1,27,3,13
17,2,5,26,4
18,0,2,3,8
18,1,27,3,13
18,2,5,26,4
19,0,3,2,9
19,1,27,3,13
19,2,5,26,4
20,0,3,2,9
20,1,27,3,13
20,2,5,26,4
21,0,3,2,9
21,1,27,3,13
21,2,6,25,5
22,0,3,1,10
22,1,27,3,13
22,2,6,25,5
23,0,3,1,10
23,1,28,4,13
23,2,6,25,5
24,0,3,1,10
24,1,28,4,13
24,2,6,25,5
25,0,4,2,9
25,1,28,4,13
25,2,6,25,5
26,0,4,2,9
26,1,28,5,13
26,2,6,25,5
27,0,4,2,9
27,1,28,5,13
27,2,5,24,6
28,0,5,2,8
28,1,28,5,13
28,2,5,24,6
29,0,5,2,8
29,1,28,6,12
29,2,5,24,6
30,0,5,2,8
30,1,28,6,12
30,2,5,25,5
31,0,6,3,8
31,1,28,6,12
31,2,5,25,5
32,0,6,3,8
32,1,27,6,13
32,2,5,25,5
33,0,6,3,8
33,1,27,6,13
33,2,6,25,5
34,0,5,3,7
34,1,27,6,13
34,2,6,25,5
35,0,5,3,7
35,1,27,6,14
35,2,6,25,5
36,0,5,3,7
36,1,27,6,14
36,2,7,24,6
37,0,6,3,8
37,1,27,6,14
37,2,7,24,6
38,0,6,3,8
38,1,27,6,13
38,2,7,24,6
39,0,6,3,8
39,1,27,6,13
39,2,7,24,6
40,0,5,4,8
40,1,27,6,13
40,2,7,24,6
41,0,5,4,8
41,1,28,7,12
41,2,7,24,6
42,0,5,4,8
42,1,28,7,12
42,2,7,24,6
43,0,6,3,9
43,1,28,7,12
43,2,7,24,6
44,0,6,3,9
44,1,27,8,12
44,2,7,24,6
45,0,6,3,9
45,1,27,8,12
45,2,8,23,6
46,0,7,4,8
46,1,27,8,12
46,2,8,23,6
47,0,7,4,8
